ScenarioTime;ThrottleAPredicted;ThrottleA;ThrottleB;CarPosXA;CarPosXB;CarPosZA;CarPosZB;SteerA;SteerB
5.4697;0.33785647;0.631;0.3902;79.1757;-84.2939;-75.5054;77.09;-0.0293;0.0291
5.5393;0.34595942;0.6344;0.401;79.0458;-84.2519;-75.5058;77.0178;-0.0301;0.0298
5.6094;0.34791243;0.6414;0.4066;78.9091;-84.208;-75.5066;76.942;-0.03;0.0298
5.679;0.35451013;0.6523;0.4046;78.7661;-84.1623;-75.5069;76.8629;-0.031;0.0286
5.7488;0.36837906;0.666;0.3845;78.616;-84.1144;-75.5076;76.7801;-0.034;0.0249
5.8191;0.38245648;0.6792;0.3557;78.4598;-84.0649;-75.5091;76.6943;-0.0372;0.0172
5.8887;0.39337355;0.6925;0.3429;78.2956;-84.0131;-75.5114;76.6052;-0.0388;0.0056
5.9583;0.4048978;0.7049;0.3706;78.1257;-83.96;-75.5142;76.5145;-0.0388;-0.0065
6.0278;0.41941977;0.7145;0.4223;77.9488;-83.905;-75.5176;76.4214;-0.0388;-0.0164
6.0972;0.4259944;0.721;0.4414;77.7645;-83.8477;-75.5215;76.3255;-0.0388;-0.0255
6.1667;0.4264109;0.7249;0.4279;77.5729;-83.788;-75.5259;76.2265;-0.0388;-0.0359
6.2366;0.4239334;0.732;0.3999;77.373;-83.7255;-75.531;76.1241;-0.0388;-0.0494
6.3062;0.42116672;0.7441;0.3702;77.1656;-83.6606;-75.5367;76.0191;-0.0388;-0.065
6.376;0.41938257;0.7529;0.3422;76.9498;-83.5929;-75.5431;75.9116;-0.0388;-0.087
6.4458;0.41710806;0.7585;0.3096;76.7264;-83.5229;-75.5502;75.8028;-0.0388;-0.1151
6.5159;0.415532;0.7681;0.2852;76.4941;-83.45;-75.5582;75.6928;-0.0388;-0.1508
6.5857;0.4122758;0.7819;0.2642;76.2548;-83.3748;-75.567;75.5832;-0.0388;-0.1982
6.6555;0.4263407;0.8009;0.2299;76.0075;-83.2965;-75.5768;75.4747;-0.0388;-0.2582
6.7251;0.4535191;0.8186;0.204;75.753;-83.2152;-75.5876;75.3688;-0.0388;-0.3264
6.7947;0.47669482;0.8305;0.1804;75.4896;-83.1302;-75.5995;75.2663;-0.0388;-0.3934
6.8643;0.4880182;0.8375;0.1634;75.2179;-83.0418;-75.6125;75.1681;-0.0388;-0.4371
6.9348;0.49379772;0.8343;0.1534;74.9325;-82.9486;-75.627;75.0725;-0.0388;-0.4716
7.0044;0.49292296;0.8177;0.1506;74.6438;-82.8545;-75.6426;74.9826;-0.0388;-0.503
7.0742;0.48812807;0.806;0.1559;74.3448;-82.7575;-75.6597;74.8961;-0.0389;-0.5434
7.1438;0.47865903;0.799;0.1687;74.0393;-82.6585;-75.6782;74.8142;-0.0391;-0.5951
7.2134;0.4854887;0.7949;0.1776;73.7252;-82.5569;-75.6982;74.7374;-0.0414;-0.6252
7.2834;0.49058205;0.7925;0.1829;73.4017;-82.4523;-75.7201;74.665;-0.0446;-0.6265
7.3533;0.4916001;0.7904;0.2038;73.0716;-82.3461;-75.7439;74.5963;-0.0459;-0.6127
7.4229;0.4907201;0.7882;0.2436;72.7349;-82.2383;-75.7698;74.5298;-0.0459;-0.5918
7.4978;0.4885909;0.7872;0.269;72.3963;-82.1303;-75.7973;74.4654;-0.0459;-0.5688
7.5762;0.48798627;0.7865;0.2853;71.9888;-82.0006;-75.8325;74.3905;-0.046;-0.5597
7.655;0.48983783;0.7859;0.2936;71.5573;-81.863;-75.8721;74.3144;-0.046;-0.5728
7.7249;0.49573326;0.7856;0.3061;71.1875;-81.7446;-75.9081;74.2528;-0.0478;-0.5956
7.7944;0.5059906;0.7854;0.338;70.8122;-81.6237;-75.9465;74.1948;-0.0524;-0.6151
7.8643;0.5145388;0.7853;0.3734;70.4286;-81.4993;-75.988;74.1401;-0.0569;-0.6236
7.9341;0.5209517;0.7838;0.4114;70.0381;-81.3712;-76.033;74.0887;-0.0603;-0.6257
8.0037;0.52435803;0.7798;0.441;69.6412;-81.2393;-76.0811;74.0402;-0.062;-0.6258
8.0732;0.52587676;0.7776;0.4691;69.2378;-81.1037;-76.1335;73.9946;-0.062;-0.6258
8.1426;0.52771145;0.7874;0.5113;68.828;-80.9637;-76.1896;73.9517;-0.062;-0.6258
8.2122;0.5270709;0.8351;0.553;68.4125;-80.8185;-76.2497;73.9117;-0.062;-0.6251
8.2817;0.5231188;0.9018;0.5793;67.9902;-80.6679;-76.3137;73.8747;-0.062;-0.6169
8.3516;0.5154606;0.942;0.5948;67.5589;-80.5109;-76.3826;73.8407;-0.062;-0.6042
8.4209;0.50754625;0.965;0.604;67.1202;-80.3481;-76.4559;73.8096;-0.062;-0.5944
8.4905;0.50255513;0.9747;0.6094;66.674;-80.1794;-76.5334;73.7818;-0.062;-0.5923
8.5598;0.4981138;0.9714;0.6184;66.2202;-80.0047;-76.6168;73.7578;-0.0621;-0.5923
8.6294;0.49598026;0.9522;0.6346;65.7557;-79.8236;-76.7062;73.7387;-0.0658;-0.5923
8.699;0.49592525;0.9247;0.6627;65.2829;-79.6368;-76.8014;73.7249;-0.0747;-0.5923
8.7683;0.4954787;0.8887;0.6985;64.802;-79.4439;-76.9034;73.7172;-0.0873;-0.5923
8.8379;0.49220133;0.8482;0.7308;64.3143;-79.2445;-77.0129;73.716;-0.1018;-0.5918
8.9075;0.4758677;0.8158;0.7544;63.8213;-79.0385;-77.131;73.7222;-0.1158;-0.5724
8.9775;0.44656998;0.7952;0.7589;63.3214;-78.824;-77.2594;73.7353;-0.1287;-0.5352
9.0471;0.4089676;0.7831;0.7365;62.821;-78.6026;-77.3977;73.7543;-0.1406;-0.4851
9.1167;0.3649785;0.7759;0.7105;62.3209;-78.3739;-77.5468;73.7777;-0.1559;-0.4247
9.1863;0.3140743;0.7717;0.6895;61.8174;-78.1367;-77.6991;73.8047;-0.1748;-0.3686
9.2573;0.25710672;0.7697;0.6813;61.3046;-77.8848;-77.8564;73.8345;-0.1993;-0.3096
9.3335;0.21579823;0.7657;0.6953;60.7667;-77.6063;-78.0329;73.8685;-0.2195;-0.2179
9.4031;0.22050193;0.7608;0.7273;60.2841;-77.3416;-78.2178;73.8999;-0.2282;-0.1161
9.4731;0.23580071;0.7564;0.7526;59.8084;-77.0661;-78.4268;73.9286;-0.2318;-0.0102
9.5427;0.2506423;0.7534;0.7664;59.3427;-76.7817;-78.6546;73.9511;-0.2327;0.0672
9.6123;0.25676227;0.7478;0.7633;58.8813;-76.4857;-78.8976;73.9667;-0.2327;0.1084
9.6819;0.2568804;0.7322;0.7546;58.4267;-76.1818;-79.1424;73.9759;-0.2303;0.1203
9.7515;0.26206943;0.7112;0.7517;57.9742;-75.8688;-79.4092;73.9801;-0.2247;0.1326
9.821;0.2582505;0.6983;0.759;57.5261;-75.5476;-79.7026;73.9796;-0.2233;0.1349
9.8906;0.258773;0.6895;0.7858;57.0882;-75.2195;-80.019;73.9746;-0.2233;0.1567
9.9602;0.26343283;0.6805;0.8125;56.6601;-74.8835;-80.3565;73.9641;-0.2233;0.1898
10.03;0.26950502;0.6964;0.8301;56.2415;-74.5377;-80.7154;73.9456;-0.2184;0.2123
10.0999;0.29282364;0.77;0.8453;55.8348;-74.1843;-81.0912;73.9181;-0.1989;0.2315
10.1699;0.32078946;0.8445;0.8604;55.4375;-73.8222;-81.4846;73.8799;-0.1701;0.2397
10.2397;0.33401954;0.8875;0.8675;55.0457;-73.4507;-81.8954;73.8307;-0.1438;0.2386
10.3093;0.35848188;0.9112;0.8706;54.6622;-73.0747;-82.3181;73.7709;-0.1215;0.2342
10.3789;0.38645494;0.9251;0.8724;54.2838;-72.6928;-82.7536;73.7007;-0.1014;0.2231
10.4561;0.3968141;0.9372;0.8734;53.8751;-72.2694;-83.2435;73.6124;-0.0768;0.1903
10.5376;0.3813123;0.9454;0.8744;53.4683;-71.8382;-83.7484;73.5133;-0.0543;0.1339
10.6118;0.35866147;0.9507;0.8809;53.0364;-71.3716;-84.3003;73.3998;-0.0411;0.0786
10.6838;0.33725452;0.9549;0.8935;52.643;-70.9396;-84.8151;73.2922;-0.0314;0.0315
10.7534;0.31257698;0.9578;0.9048;52.3218;-70.5232;-85.3228;73.1887;-0.0158;-0.0165
10.8228;0.3118139;0.9618;0.911;51.9687;-70.0998;-85.8253;73.0859;0.0074;-0.056
10.8928;0.30725953;0.9728;0.9105;51.6003;-69.665;-86.3394;72.9847;0.0361;-0.0934
10.9624;0.2943306;0.9839;0.9088;51.2276;-69.2254;-86.855;72.8884;0.0686;-0.1383
11.032;0.27147445;0.9905;0.9085;50.8484;-68.7778;-87.374;72.7991;0.1071;-0.1967
11.1016;0.24442667;0.9944;0.9108;50.4862;-68.3239;-87.945;72.7195;0.1441;-0.2503
11.1714;0.22472546;0.9967;0.9063;50.0913;-67.8674;-88.4959;72.6419;0.1774;-0.2869
11.2417;0.20425498;0.998;0.8917;49.6686;-67.4106;-89.0396;72.5714;0.208;-0.3323
11.3113;0.16309574;0.9988;0.872;49.2266;-66.9651;-89.566;72.5192;0.2341;-0.4193
11.3806;0.1312347;0.9993;0.8459;48.7608;-66.5236;-90.0785;72.5029;0.2526;-0.4933
11.4507;0.1098702;0.9761;0.8216;48.2639;-66.0827;-90.5789;72.5266;0.2679;-0.5471
11.52;0.10751021;0.7865;0.811;47.7412;-65.6502;-91.0588;72.5861;0.2763;-0.575
11.5896;0.09629205;0.479;0.8101;47.1961;-65.2305;-91.5224;72.6661;0.2768;-0.6351
11.6592;0.08636653;0.2828;0.7907;46.6384;-64.8194;-91.9679;72.7738;0.2841;-0.7029
11.729;0.07353029;0.167;0.7701;46.069;-64.4201;-92.3906;72.9241;0.2967;-0.7588
11.7996;0.05925141;0.0986;0.7595;45.4777;-64.0309;-92.7813;73.1207;0.3015;-0.8047
11.8696;0.05749075;0.0582;0.7596;44.8884;-63.6684;-93.1244;73.3562;0.305;-0.8185
11.9395;0.06486927;0.0344;0.7616;44.2979;-63.3343;-93.4244;73.6255;0.3165;-0.8171
12.0093;0.07738328;0.0203;0.7689;43.6937;-63.0541;-93.6706;73.9312;0.3313;-0.8044
12.0793;0.08900809;0.012;0.7747;43.0961;-62.8187;-93.8852;74.255;0.3405;-0.7869
12.1489;0.0900929;0.0071;0.7851;42.5043;-62.5738;-94.0535;74.5789;0.3408;-0.7888
12.2183;0.08588469;0.0042;0.7963;41.92;-62.3562;-94.1731;74.9163;0.3414;-0.8031
12.2881;0.07436848;0.0025;0.803;41.3422;-62.1904;-94.2403;75.3007;0.3433;-0.8192
12.3579;0.06582853;0.0015;0.8079;40.7795;-62.0522;-94.2796;75.6891;0.344;-0.8175
12.4275;0.06901205;0.0009;0.8095;40.2299;-61.9381;-94.2849;76.0692;0.3483;-0.7798
12.4971;0.0875631;0.0005;0.8005;39.6941;-61.8544;-94.2583;76.4473;0.3582;-0.6948
12.5664;0.11162153;0.0003;0.7848;39.1711;-61.8033;-94.2033;76.8296;0.3645;-0.5821
12.6362;0.13359654;0.0002;0.7678;38.661;-61.7824;-94.1224;77.2212;0.3646;-0.464
12.7058;0.15603286;0.0001;0.7395;38.1639;-61.7865;-94.0173;77.6254;0.3648;-0.3562
12.7781;0.16236791;0.0001;0.7033;37.6663;-61.8101;-93.8855;78.0555;0.37;-0.2663
12.8477;0.15497604;0;0.6848;37.2046;-61.8472;-93.7378;78.4793;0.3733;-0.1349
12.9175;0.11483121;0;0.6835;36.7576;-61.8905;-93.5699;78.9154;0.3741;0.015
12.9871;0.11628294;0;0.6784;36.3283;-61.9407;-93.3839;79.361;0.3749;0.0573
13.0569;0.11718294;0;0.6533;35.9181;-61.9983;-93.182;79.8116;0.3773;0.0818
13.127;0.11472511;0;0.6308;35.5235;-62.0541;-92.9636;80.2707;0.3803;0.0854
13.1968;0.10810161;0;0.638;35.1472;-62.0855;-92.731;80.7346;0.3839;0.0822
13.2664;0.10148188;0;0.6607;34.7922;-62.1067;-92.4877;81.1987;0.3861;0.0905
13.3359;0.10397339;0;0.6781;34.4547;-62.1257;-92.2325;81.6651;0.3881;0.1464
13.4055;0.11081958;0;0.6883;34.1364;-62.1423;-91.9681;82.1312;0.3904;0.2137
13.4937;0.09860975;0;0.6948;33.7933;-62.1579;-91.6538;82.6654;0.3958;0.3172
13.5715;0.08317184;0;0.6999;33.4996;-62.1549;-91.3571;83.157;0.3972;0.3892
13.6416;0.08110523;0;0.6982;33.1886;-62.0931;-91.01;83.719;0.3972;0.4343
13.7114;0.08673862;0;0.6812;32.9464;-61.9958;-90.7123;84.1909;0.3973;0.4812
13.7813;0.09436682;0;0.6664;32.7214;-61.8707;-90.4111;84.6615;0.3975;0.5296
13.8511;0.10260138;0;0.6553;32.5131;-61.716;-90.1063;85.1274;0.3979;0.5726
13.9207;0.11066258;0.0031;0.6461;32.3213;-61.5345;-89.8008;85.5803;0.3975;0.6047
13.99;0.12327251;0.029;0.6373;32.1354;-61.3116;-89.5091;86.0061;0.3952;0.6494
14.0596;0.14058009;0.0639;0.614;31.9469;-61.0543;-89.2435;86.3956;0.39;0.6971
14.1294;0.1569891;0.0843;0.59;31.7841;-60.7745;-88.9484;86.7521;0.3831;0.731
14.199;0.17172325;0.0824;0.5833;31.6371;-60.4833;-88.645;87.0945;0.3753;0.758
14.2686;0.18516898;0.0602;0.5884;31.5048;-60.1683;-88.3371;87.4188;0.3662;0.7743
14.3381;0.19666615;0.0355;0.5922;31.3855;-59.8243;-88.0277;87.7182;0.3572;0.7793
