ScenarioTime,PredictedThrottleA,ThrottleA,ThrottleB,CarPosXA,CarPosXB,CarPosZA,CarPosZB,SteerA,SteerB
8.0366,-0.0097384,0,0.5694,0.4913,-0.4083,-10.819,10.2121,-0.0076,0.0027
8.1065,-0.01339366,0,0.5698,0.4919,-0.4147,-10.8076,10.0076,-0.0076,0.0027
8.1065,-0.01339366,0,0.5698,0.4919,-0.4147,-10.8076,10.0076,-0.0076,0.0027
8.1758,-0.01728921,0,0.57,0.4924,-0.4212,-10.7964,9.7976,-0.0076,0.0027
8.1758,-0.01728921,0,0.57,0.4924,-0.4212,-10.7964,9.7976,-0.0076,0.0027
8.2461,-0.02145252,0,0.5701,0.4929,-0.428,-10.7854,9.5821,-0.0076,0.0027
8.2461,-0.02145252,0,0.5701,0.4929,-0.428,-10.7854,9.5821,-0.0076,0.0027
8.3155,-0.02645209,0,0.5685,0.4934,-0.4349,-10.7747,9.3628,-0.0076,0.0027
8.3155,-0.02645209,0,0.5685,0.4934,-0.4349,-10.7747,9.3628,-0.0076,0.0027
8.3848,-0.03206201,0,0.566,0.4939,-0.442,-10.7643,9.1383,-0.0076,0.0027
8.3848,-0.03206201,0,0.566,0.4939,-0.442,-10.7643,9.1383,-0.0076,0.0027
8.4546,-0.03856452,0,0.5646,0.4944,-0.4493,-10.754,8.9076,-0.0076,0.0045
8.4546,-0.03856452,0,0.5646,0.4944,-0.4493,-10.754,8.9076,-0.0076,0.0045
8.5244,-0.04582027,0,0.5674,0.4948,-0.4569,-10.7439,8.6717,-0.0076,0.0091
8.5244,-0.04582027,0,0.5674,0.4948,-0.4569,-10.7439,8.6717,-0.0076,0.0091
8.5943,-0.06047738,0,0.5735,0.4953,-0.4652,-10.734,8.4313,-0.0076,0.0166
8.5943,-0.06047738,0,0.5735,0.4953,-0.4652,-10.734,8.4313,-0.0076,0.0166
8.6641,-0.07736832,0,0.5793,0.4957,-0.4741,-10.7243,8.1861,-0.0076,0.0256
8.6641,-0.07736832,0,0.5793,0.4957,-0.4741,-10.7243,8.1861,-0.0076,0.0256
8.7339,-0.0949067,0,0.5836,0.4962,-0.4841,-10.7149,7.9363,-0.0076,0.0349
8.7339,-0.0949067,0,0.5836,0.4962,-0.4841,-10.7149,7.9363,-0.0076,0.0349
8.8037,-0.11212091,0,0.5862,0.4966,-0.4955,-10.7056,7.6807,-0.0076,0.0434
8.8037,-0.11212091,0,0.5862,0.4966,-0.4955,-10.7056,7.6807,-0.0076,0.0434
8.8736,-0.12965846,0,0.5846,0.497,-0.5085,-10.6966,7.4199,-0.0076,0.051
8.8736,-0.12965846,0,0.5846,0.497,-0.5085,-10.6966,7.4199,-0.0076,0.051
8.9429,-0.14651719,0,0.5795,0.4974,-0.5232,-10.6877,7.1549,-0.0076,0.0564
8.9429,-0.14651719,0,0.5795,0.4974,-0.5232,-10.6877,7.1549,-0.0076,0.0564
9.0127,-0.16248494,0,0.5744,0.4978,-0.5397,-10.6791,6.8855,-0.0076,0.0595
9.0127,-0.16248494,0,0.5744,0.4978,-0.5397,-10.6791,6.8855,-0.0076,0.0595
9.0825,-0.17471683,0,0.5711,0.4982,-0.5582,-10.6706,6.6101,-0.0076,0.0601
9.0825,-0.17471683,0,0.5711,0.4982,-0.5582,-10.6706,6.6101,-0.0076,0.0601
9.1519,-0.1835916,0,0.5692,0.4986,-0.5782,-10.6624,6.331,-0.0076,0.0601
9.1519,-0.1835916,0,0.5692,0.4986,-0.5782,-10.6624,6.331,-0.0076,0.0601
9.2217,-0.19311956,0,0.5652,0.499,-0.6001,-10.6544,6.0459,-0.0076,0.0613
9.2217,-0.19311956,0,0.5652,0.499,-0.6001,-10.6544,6.0459,-0.0076,0.0613
9.2915,-0.20398065,0,0.5582,0.4993,-0.6239,-10.6465,5.7565,-0.0076,0.0631
9.2915,-0.20398065,0,0.5582,0.4993,-0.6239,-10.6465,5.7565,-0.0076,0.0631
9.3609,-0.21647322,0,0.5499,0.4997,-0.6497,-10.6389,5.4637,-0.0076,0.0644
9.3609,-0.21647322,0,0.5499,0.4997,-0.6497,-10.6389,5.4637,-0.0076,0.0644
9.4326,-0.22917724,0,0.5438,0.5001,-0.6784,-10.6312,5.1566,-0.0076,0.0645
9.4326,-0.22917724,0,0.5438,0.5001,-0.6784,-10.6312,5.1566,-0.0076,0.0645
9.502,-0.2355962,0,0.5403,0.5004,-0.7082,-10.6237,4.8555,-0.0076,0.0645
9.502,-0.2355962,0,0.5403,0.5004,-0.7082,-10.6237,4.8555,-0.0076,0.0645
9.5718,-0.21955448,-0.45,0.5367,0.5007,-0.7401,-10.6164,4.5507,0,0.0625
9.5718,-0.21955448,-0.45,0.5367,0.5007,-0.7401,-10.6164,4.5507,0,0.0625
9.6416,-0.23189531,0.0295,0.5268,0.5011,-0.7741,-10.6093,4.2411,-0.0076,0.0547
9.6416,-0.23189531,0.0295,0.5268,0.5011,-0.7741,-10.6093,4.2411,-0.0076,0.0547
